feature,importance
lag_1h,0.34500632
lag_24h,0.123495094
workingday,0.10833673
hour_cos,0.09984612
hour_sin,0.0762025
is_weekend,0.07268761
roll_mean_3h,0.053032372
yr,0.028358936
weathersit,0.023650637
weekday_sin,0.016868213
roll_mean_24h,0.011803076
weekday_cos,0.011457865
is_holiday,0.0047630137
month_cos,0.0038343796
precipitation,0.0036726573
temperature_2m,0.0035646493
season,0.003557999
apparent_temperature,0.0029349504
month_sin,0.0026764993
relative_humidity_2m,0.0024042078
wind_speed_10m,0.0018462345
